Pincode,Prepaid,Reverse Pickup,COD,City,State Code,Express TAT,Surface TAT,Zone,BD-Zone,BD-State Code,BD-serviceable status
394307,Y,Y,Y,Valsad,GJ,3,3,D1,No service,No service,0
507316,Y,Y,Y,Kothagudem,TS,3,4,D2,No service,No service,EDL /ODA
721662,Y,Y,Y,Haldia,WB,2,3,D2,No service,No service,0
206301,Y,Y,Y,Chhibramau,UP,2,2,B,No service,No service,EDL /ODA
503114,Y,Y,Y,Padmajiwadi,TS,3,4,D1,No service,No service,0
442101,Y,Y,Y,Pulgaon,MH,2,3,D1,No service,No service,EDL /ODA
691538,Y,Y,Y,Kottarakkara,KL,3,5,D2,No service,No service,EDL /ODA
627106,Y,Y,Y,Azhagappapuram,TN,3,5,D2,No service,No service,EDL /ODA
735236,Y,Y,Y,Mainaguri,WB,2,3,D2,No service,No service,EDL /ODA
281121,Y,Y,Y,Vrindavan,UP,2,2,B,No service,No service,EDL /ODA
531149,Y,Y,Y,Araku,AP,3,4,D2,No service,No service,EDL /ODA
574234,Y,Y,Y,Sullia,KA,3,4,D2,No service,No service,EDL /ODA
303902,Y,Y,Y,Jaipur,RJ,2,2,B,No service,No service,0
441911,Y,Y,Y,Gondia,MH,3,3,D1,No service,No service,EDL /ODA
177212,Y,Y,Y,Amb,HP,2,3,E,No service,No service,EDL /ODA
711109,Y,Y,Y,Howrah,WB,2,3,C2,EAST,HOW,Yes
683594,Y,Y,Y,North Paravur,KL,3,5,D2,No service,No service,EDL /ODA
811102,Y,Y,Y,Sheikhpura,BR,3,3,D1,No service,No service,EDL /ODA
413110,Y,Y,Y,Phaltan,MH,3,4,D2,No service,No service,EDL /ODA
600088,Y,Y,Y,Chennai,TN,2,4,C2,SOUTH,MAA,Yes
581350,Y,Y,Y,Bhatkal,KA,3,4,D2,No service,No service,EDL /ODA
144620,Y,Y,Y,Kapurthala,PB,2,2,B,No service,No service,EDL /ODA
756026,Y,Y,Y,Basta,OR,3,4,D2,No service,No service,EDL /ODA
573220,Y,Y,Y,Hassan,KA,3,5,D2,No service,No service,EDL /ODA
695547,Y,Y,Y,Nedumangad,KL,3,5,D2,No service,No service,EDL /ODA
416630,Y,Y,Y,Devgad,MH,3,4,D2,No service,No service,EDL /ODA
517390,Y,Y,Y,B Kothakota,AP,3,4,D2,No service,No service,EDL /ODA
759019,Y,Y,Y,Dhenkanal,OR,4,4,D2,No service,No service,EDL /ODA
534451,Y,Y,Y,Jangareddygudem,AP,3,4,D2,No service,No service,EDL /ODA
382022,Y,Y,Y,Gandhinagar,GJ,2,3,C1,WEST,GNR,Yes
851212,Y,Y,Y,Maheshkhunt,BR,3,3,D1,No service,No service,EDL /ODA
493338,Y,Y,Y,Jaijaipur,CG,4,4,D1,No service,No service,EDL /ODA
753009,Y,Y,Y,Cuttack,OR,2,3,D2,EAST,CTK,Yes
